book_4-occurrence.csvWord,Count
savage,1
smashwords,1
edition,1
isbn,1
this,3
book,3
is,13
a,17
work,1
of,15
fiction,1
names,1
characters,3
places,1
and,23
incidents,1
are,8
either,1
the,17
product,1
writers,1
imagination,1
or,3
used,2
fictitiously,1
any,2
resemblance,1
to,14
actual,1
events,2
locales,1
person,1
living,1
dead,1
entirely,1
coincidental,1
an,1
original,1
publication,1
world,2
entertainment,2
all,6
rights,1
reserved,1
including,1
right,1
reproduce,1
portions,1
thereof,1
in,5
any,2
form,1
whatsoever,1
except,1
for,2
use,1
quotes,1
review,1
purposes,1
information,1
please,1
contact,1
printed,1
usa,1
has,2
other,1
great,1
novels,1
check,1
them,1
out,1
sensational,1
american,1
wrestling,1
just,1
like,1
it,2
on,3
tv,1
with,2
off,1
wall,1
commercials,1
available,2
now,2
shadow,1
million,1
dollar,1
female,1
assassin,1
hell,1
bent,1
revenge,1
archan,1
cat,1
burglar,1
power,1
talk,1
animals,1
coming,1
soon,1
chapter,1
one,1
evening,1
sun,1
basks,1
over,1
conference,1
room,1
sized,1
dinner,3
table,3
light,1
reflecting,1
polished,1
extravagant,1
silverware,1
emanates,1
eerie,1
glow,1
onto,1
remains,1
beautifully,1
set,1
leftover,1
roasted,1
hog,1
stacks,1
fried,1
chicken,1
platters,1
thickly,1
sliced,1
steak,1
pan,1
baked,1
salmon,1
makes,1
up,1
center,1
surrounding,1
various,1
partially,1
fully,1
eaten,1
side,1
dishes,1
candied,1
yams,1
mashed,1
potatoes,1
corn,1
cob,1
noodles,1
potato,1
salad,1
macaroni,1
name,1
few,1
seated,1
ten,1
individuals,1
night,1
day,1
standing,1
master,1
end,1
man,4
black,4
slacks,1
muscle,1
shirt,1
cloth,1
covering,1
from,1
under,1
his,2
nose,1
neckline,1
pure,1
no,1
pupils,1
but,2
they,1
do,1
appear,1
have,1
reflection,1
candle,1
another,1
walks,1
wearing,1
monkstyle,1
robe,1
bald,1
seemingly,1
hes,1
he,2
takes,1
place,1
next,1
already,1
welcome,1
how,1
was,1
each,1
individual,1
guest,1
provides,1
some,1
sort,1
response,1
good,1
would,1
like,1
dessert,1
few,1
shake,1
their,1
heads,1
agreement,1
disagreement,1
while,1
others,1
voice,1
personal,1
choice,1
lets,1
get,1
damn,1
point,1
says,1
he,1
slams,1
both,1
fists,1
silence,1
overtakes,1
room,1
host,2
sure,1
mr,1
explode,1
youre,1
right,1
enough,1
small,1
talk,1
everyone,1
knows,1
by,1
now,1
im,1
sure,1
who,1
overly,1
handsome,1
dressed,1
some,1
royaltystyle,1
get,1
says,1
not,1
who,1
mute,1
we,1
been,1
here,1
almost,1
six,1
hours,1
she,3
hasnt,1
spoken,1
word,1
yeah,2
whats,1
up,1
completely,1
hidden,1
identity,1
bit,1
body,1
looks,1
good,1
but,1
want,1
see,1
face,1
too,1
continued,1
identical,1
twin,1
also,1
matching,1
outfit,1
well,1
zarr,2
razz,2
special,1
ability,1
read,1
each,1
others,1
thoughts,1
instead,1
might,1
already,1
answers,1
questions,1
replied,1
humph,1
sigh,1
she,1
ladies,1
gentlemen,1
on,1
hire,1
katsuya,1
corporation,2
until,1
interrupted,1
short,1
stout,1
rugged,1
looking,1
face,1
full,1
hair,1
sporting,1
lumberjack,1
gear,1
tan,1
khakis,1
hawaiian,1
mirrorlike,1
sunglasses,2
answers,1
rugged,1
camera,2
company,2
why,1
do,1
need,1
anyone,1
capitalist,1
asks,1
with,1
rage,1
you,2
idiot,1
to,1
more,1
front,1
japanese,1
mafia,1
slammed,1
palms,1
hands,1
takes,1
back,1
control,1
situation,1
this,1
everyone,1
attention,1
focused,1
back,1
him,1
issue,1
hand,1
reason,1
have,1
gathered,1
treasure,1
relic,1
hunters,1
unique,1
talents,1
abilities,1
which,1
will,1
help,1
ensure,1
success,1
mission,1
surveys,1
room,1
paid,2
one,1
half,1
upon,1
completion,1
spoils,1
trip,1
happen,1
pick,1
ask,1
return,1
item,1
stone,3
sunfire,3
members,1
seem,2
heard,1
most,1
clue,1
what,1
it,1
some,1
never,1
surprised,1
its,1
rumored,1
only,1
seen,1
handful,1
people,1
place,1
was,1
last,1
considered,1
myth,2
atlantis,3
since,1
proving,1
which,1
next,1
impossible,1
prove,1
sort,1
myths,1
jokeful,1
manner,1
yeah,1
want,1
find,1
luck,1
no,1
bebida,1
blood,1
fortunately,1
less,1
known,1
told,1
among,1
several,1
tribes,1
south,1
america,1
tells,1
tale,1
during,1
brief,1
time,1
turmoil,1
rumored,1
occurred,1
very,1
skillful,1
thief,1
sent,1
by,1
king,1
